COD_UNIT;COD_SITE;COD_PROPERTY;COD_COUNTRY;LIB_TYP_UNIT;SURFACE_UNIT
p0000434-LG0810;36;p0000434;FRA;Shop;300.000000
p0000179-LG0807;27;p0000179;FRA;Land;1.000000
p0000358-LG0826;6;p0000358;FRA;Shop;715.400000
p0000293-LG6121;30;p0000293;FRA;Mezzanine - Reserve;39.650000
p0000493-LG0099;24;p0000493;FRA;Shop;0.000000
p0000225-LG0103;34;p0000225;FRA;Shop;308.000000
p0000064-LG0206;9;p0000064;FRA;Medium-sized unit;602.000000
p0000455-LG0010;32;p0000455;FRA;Shop;55.000000
p0000249-LG0075;140;p0000249;FRA;Shop;122.000000
p0000407-LG0001;21;p0000407;FRA;Shop;100.000000
p0000097-LG0055;119;p0000097;FRA;Shop;0.000000
p0000283-LG0203;152;p0000283;FRA;Shop;0.000000
p0000444-LG0113;111;p0000444;FRA;Shop;259.000000
p0000278-LG0801;46;p0000278;FRA;Advertising screen / Panel;0.000000
p0000225-LG0126;34;p0000225;FRA;Shop;148.000000
p0000357-LG0025;6;p0000357;FRA;Shop;166.000000
p0000400-LG0804;56;p0000400;FRA;Land;4137.000000
p0000466-LG0033;3;p0000466;FRA;Shop;97.000000
p0000418-LG0037;45;p0000418;FRA;Shop;33.660000
p0000113-LG9889;14;p0000113;FRA;Outdoor terrace;57.710000
p0000321-LG0004;178;p0000321;FRA;Medium-sized unit;10006.000000
p0000132-LG0343;10;p0000132;FRA;Shop;171.000000
p0000334-LG6017;25;p0000334;FRA;Reserve;19.000000
p0000239-LG0004;156;p0000239;FRA;Shop;32.000000
p0000270-LG0034;142;p0000270;FRA;Shop;160.490000
p0000165-LG0306;7;p0000165;FRA;Shop;718.220000
p0000315-LG0501;125;p0000315;FRA;Shop;22.73
p0000338-LG0113;12;p0000338;FRA;Shop;157.220000
p0000264-LG0004;114;p0000264;FRA;Shop;82.530000
p0000091-LG0091;39;p0000091;FRA;Shop;102.000000
p0000447-LG0034;141;p0000447;FRA;Shop;0.000000
p0000435-LG0061;14;p0000435;FRA;Shop;161.000000
p0000389-LG0002;103;p0000389;FRA;Medium-sized unit;130.000000
p0000225-LG0084;34;p0000225;FRA;Medium-sized unit;1869.400000
p0000416-LG0017;28;p0000416;FRA;Shop;57.470000
p0000244-LG0014;157;p0000244;FRA;Shop;106.000000
p0000434-LG0805;36;p0000434;FRA;Medium-sized unit;1100.000000
p0000225-LG0093;34;p0000225;FRA;Distributor - Bankomat;10.000000
p0000148-LG0084;24;p0000148;FRA;Medium-sized unit;646.000000
p0000362-LG6328;16;p0000362;FRA;Mezzanine - Shop;118.000000
p0000420-LG0911;45;p0000420;FRA;Shop;1150.000000
p0000311-LG0006;127;p0000311;FRA;Shop;0.000000
p0000158-LG0725;95;p0000158;FRA;Shop;97.000000
p0000158-LG0744;95;p0000158;FRA;Shop;83.000000
p0000123-LG0007;128;p0000123;FRA;Shop;0.000000
p0000435-LG0145;14;p0000435;FRA;Shop;75.000000
p0000166-LG0836;7;p0000166;FRA;Shop;406.000000
p0000435-LG0210;14;p0000435;FRA;Shop;13.800000
