COD_SITE;LIB_SITE;COD_COUNTRY;COD_POSTAL_SITE;LIB_ADDRESS1_SITE;LIB_TOWN_SITE
802;CORBEIL;FRA;91100;24 BOULEVARD GEORGES MICHEL;CORBEIL ESSONNES
N0929;COMPACT NODI;FRA;;;
34;BRETIGNY;FRA;91227;ZONE DE LA MAISON NEUVE;BRETIGNY SUR ORGE CEDEX
119;LAXOU;FRA;54520;RUE DE LA SAPINIERE;LAXOU
82;PAU;FRA;64000;BOULEVARD DU GENERAL LECLERCQ;PAU
111;BLOIS;FRA;41350;GM AUCHAN ZAC DES SABLONS;VINEUIL
961;HYERES;FRA;59170;RUE DU MAL DE LATTRE DE TASSIGNY;CROIX
993;STRUCTURE;FRA;59170;RUE DU MAL DE LATTRE DE TASSIGNY;CROIX
16;PLAISIR;FRA;78370;DEPARTEMENTALE 161;PLAISIR LES CLAYES
65;MAUREPAS;FRA;78310;ZA DE COIGNIERES AVENUE GUNTENBERG;MAUREPAS
971;YVRAC;FRA;33370;8 R DE LA HAUTE LANDE;SALLES
95;MEAUX;FRA;77124;CC les Saisons de Meaux;Chauconin Neufmontiers
159;GRASSE;FRA;6130;LA PAOUTE - ROUTE NATIONALE;GRASSE
977;ST MARTIN AU LAERT;FRA;62500;ROUTE DE CALAIS;ST MARTIN AU LAERT
12;ORLEANS;FRA;45140;Avenue Pierre Mendes France;ST JEAN DE LA RUELLE
130;VIRY NOUREUIL;FRA;2300;RN 32;VIRY NOUREUIL
70;TOULOUSE;FRA;31075;CENTRE COMMERCIAL AUCHAN;TOULOUSE
152;DOMERAT;FRA;3410;65 AVENUE DES MARTYRS;DOMERAT
985;BETTON;FRA;35830;1 AV DE LA HAYE RENAUD;BETTON
973;BOVES;FRA;80440;CTRE CIAL GEANT;GLISY
979;MARLY;FRA;59770;CROIX OISEAUX;MARLY
808;LCO1;LUX;;;
902;BORDEAUX - BUREAUX D'AQUITAINE;FRA;33000;Avenue des 40 journaux;BORDEAUX
P0004;SCCV QUAI 22 PANORAMA;FRA;;;
946;HALLES DE MEAUX;FRA;77100;Allée Jean Louis BARRAULT;MEAUX
38;PERIGUEUX;FRA;24430;CENTRE COMMERCIAL AUCHAN LA CROPTE;MARSAC SUR L'ISLE
126;LUXEUIL;FRA;70300;LUXEUIL;LUXEUIL LES BAINS
N0137;NEUILLY;FRA;93330;CENTRE COMMERCIAL AUCHAN;NEUILLY SUR MARNE
0;REPRISE CESSION;FRA;59170;RUE DU MARECHAL DE LATTRE DE TASSIGNY;CROIX
938;STRASBOURG;FRA;67035;117/A, Route des Romains;STRASBOURG
20;PERPIGNAN;FRA;66028;R.N 9 MAS GALTE;PERPIGNAN CEDEX
43;BETHUNE;FRA;62400;ROTONDE RUE DU COTEUR DHENIN;BETHUNE
N0926;TOURCOING RSS NODI;FRA;;;
114;CLERMONT FERRAND;FRA;63100;167 BD ETIENNE CLEMENTEL;CLERMONT FERRAND
57;AVIGNON SUD;FRA;84140;1741 ROUTE DE MARSEILLE;MONTFAVET
9;FONTENAY;FRA;94120;AVENUE DU MARECHAL JOFF;FONTENAY SOUS BOIS
150;MACON;FRA;71000;RN6 - 224 AV CHARLES DE GAULLE;MACON
P0002;SCCV 908 REPUBLIQUE;FRA;;;
30;BORDEAUX;FRA;33300;QUARTIER DU LAC;BORDEAUX LAC
994;SENS;FRA;89100;PORTE DE BOURGOGNE;SENS
N0923;NANCY HEILLECOURT;FRA;54710;2 RUE JACQUELINE AURIOL;FLEVILLE DEVANT NANCY
179;ST ANDRE QUAI 22 LOT C;FRA;;;
