COD_PROPERTY;COD_SITE;COD_COUNTRY;LIB_PROPERTY
p0000177;27;FRA;AUBAGNE
p0000231;151;FRA;BRIVES
p0000179;27;FRA;AUBAGNE PAC
p0000438;162;FRA;MAZAMET
p0000584;850;FRA;CROIX FLANDRE BUR
p0000263;114;FRA;CLERMONT FERRAND GM AUX NOUVELLES BOUTIQUES
p0000389;103;FRA;ST QUENTIN PAC
p0000432;13;FRA;TOULON PAC
p0000315;125;FRA;MONT ST MARTIN
p0000208;139;FRA;BIGANOS SM
p0000731;975;FRA;MARQUETTE PAC AUX NOUVELLES BOUTIQUES
p0000418;45;FRA;VILLARS
p0000065;9;FRA;FONTENAY PAC GRAND FONTENAY
p0000357;6;FRA;PETITE FORET
p0000110;14;FRA;LE PONTET PAC
p0000741;150;FRA;MACON
p0000253;147;FRA;CHATEAUROUX
p0000710;919;FRA;HONDSCHOOTE RF
p0000396;47;FRA;SCHWEIGHOUSE
p0000113;14;FRA;LE PONTET SM
p0000079;155;FRA;GUILHERAND GRANGES
p0000495;936;FRA;AMIENS HAB AUCHAN
p0000246;157;FRA;CAVAILLON RF LA PAZ II
p0000288;71;FRA;DOUAI PAC
p0000100;112;FRA;LE CANET
p0000434;36;FRA;LE MANS PAC
p0000496;27;FRA;AUBAGNE PAC AUCHAN
p0000101;8;FRA;LE HAVRE
p0000342;106;FRA;OSNY
p0000705;108;FRA;TOURS NORD RF MARRELIMMO
p0000319;83;FRA;MONTAUBAN PAC AUCHAN
p0000448;101;FRA;DURY
p0000461;44;FRA;ANGOULEME RF
p0000409;939;FRA;TOURS BUR
p0000324;178;FRA;MONTGERON PAC
p0000067;135;FRA;GIEN
p0000749;9;FRA;FONTENAY CESSION
p0000349;38;FRA;PERIGUEUX PAC
p0000715;970;FRA;TARBES RF
p0000270;142;FRA;COGNAC
p0000287;71;FRA;DOUAI
p0000260;55;FRA;CHERBOURG PAC
p0000512;89;FRA;VILLETANEUSE GM AUCHAN
p0000107;901;FRA;LE PONTET BUR GAMMA
p0000703;985;FRA;BETTON RF MARRELIMMO
p0000753;64;FRA;PEROLS PAC AUX NOUVELLES BOUTIQUES
p0000366;900;FRA;POITIERS
p0000384;32;FRA;LYON ST PRIEST PAC
p0000444;111;FRA;BLOIS
p0000750;53;FRA;ST SEBASTIEN CESSION
p0000264;114;FRA;CLERMONT FERRAND
p0000388;103;FRA;ST QUENTIN GM AUX NOUVELLES BOUTIQUES
p0000363;16;FRA;PLAISIR PAC
p0000133;10;FRA;LOUVROIL PAC
p0000714;925;FRA;COUDEKERQUE RF
p0000284;152;FRA;DOMERAT PAC
p0000152;65;FRA;MAUREPAS PAC
p0000158;95;FRA;MEAUX GM LES SAISONS DE MEAUX
p0000478;46;FRA;DARDILLY GM INDIVISION DARDILLY
p0000748;8;FRA;LE HAVRE CESSION
p0000400;56;FRA;SEMECOURT PAC
p0000433;112;FRA;LE CANET GM MARRELIMMO
p0000285;152;FRA;DOMERAT RF
p0000095;13;FRA;TOULON
p0000466;3;FRA;ENGLOS
p0000411;108;FRA;TOURS RF
p0000087;948;FRA;HALLUIN PAC
p0000585;43;FRA;BETHUNE PAC
p0000370;2;FRA;RONCQ
p0000712;39;FRA;ILLKIRCH DIV
p0000273;142;FRA;COGNAC RF MARRELIMMO
p0000143;67;FRA;MARSEILLE PAC MARRELIMMO
p0000138;17;FRA;MANTES LA JOLIE
p0000353;20;FRA;PERPIGNAN PAC
p0000410;108;FRA;TOURS
p0000408;21;FRA;STRASBOURG
p0000261;55;FRA;CHERBOURG RF
p0000347;82;FRA;PAU RF
p0000716;922;FRA;BALMA RF
p0000407;21;FRA;STRASBOURG GM AUX NOUVELLES BOUTIQUES
p0000493;24;FRA;MARTIGUES GM ASSURECUREUIL PIERRE
p0000168;7;FRA;NOYELLES GODAULT SM IMMAUCOM
p0000169;37;FRA;ANNECY PAC
p0000413;35;FRA;TRIGNAC PAC
p0000215;63;FRA;BOULIAC PAC
p0000220;5;FRA;BOULOGNE RF AUX NOUVELLES  BOUTIQUES
p0000379;144;FRA;ST CYR PAC
p0000362;16;FRA;PLAISIR
p0000736;64;FRA;PEROLS PAC
p0000751;57;FRA;AVIGNON SUD SM CESSION
p0000276;46;FRA;DARDILLY
p0000061;61;FRA;FACHES THUMESNIL RF
p0000126;102;FRA;ST OMER GM LES FRAIS FONDS
p0000372;2;FRA;RONCQ PAC
p0000105;36;FRA;LE MANS RF
p0000471;2;FRA;RONCQ PAC AUCHAN
p0000180;27;FRA;AUBAGNE PAC DOMAINE DE BONNE NOUVELLE
p0000294;30;FRA;BORDEAUX PAC
p0000729;81;FRA;CREIL
p0000290;101;FRA;DURY PAC
p0000098;119;FRA;LAXOU RF
p0000520;112;FRA;LE CANET GM AUCHAN
p0000124;128;FRA;LOBAU PAC
p0000309;22;FRA;MELUN RF
p0000499;54;FRA;BAGNOLET GM AUCHAN
p0000272;142;FRA;COGNAC RF
p0000459;11;FRA;GRANDE SYNTHE PAC
p0000242;156;FRA;CASTRES SM
p0000163;44;FRA;ANGOULEME
p0000333;137;FRA;NEUILLY
p0000076;850;FRA;CROIX RF
p0000198;120;FRA;BESSONCOURT
p0000148;24;FRA;MARTIGUES PAC
p0000190;113;FRA;AUBIERE RF
p0000725;125;FRA;MONT ST MARTIN PAC AUCHAN
p0000399;56;FRA;SEMECOURT
p0000251;975;FRA;MARQUETTE RF AUX NOUVELLES BOUTIQUES
p0000278;46;FRA;DARDILLY HAB
p0000514;67;FRA;MARSEILLE RF AUCHAN
p0000070;11;FRA;GRANDE SYNTHE PAC ELO
p0000227;34;FRA;BRETIGNY RF
p0000320;39;FRA;Ne plus utiliser
p0000142;67;FRA;MARSEILLE
p0000120;905;FRA;LESQUIN PAC
p0000360;6;FRA;PETITE FORET RF MARRELIMMO
p0000241;156;FRA;CASTRES RF
p0000129;102;FRA;ST OMER RF
p0000316;125;FRA;MONT ST MARTIN PAC
p0000519;81;FRA;CREIL PAC AUCHAN
p0000160;95;FRA;MEAUX RF LES SAISONS DE MEAUX
p0000464;37;FRA;ANNECY
p0000486;159;FRA;GRASSE PAC AUCHAN
p0000173;69;FRA;ARRAS
p0000174;69;FRA;ARRAS PAC
p0000149;24;FRA;MARTIGUES RF
p0000232;41;FRA;CALUIRE RF
p0000330;121;FRA;MULHOUSE
p0000587;64;FRA;PEROLS
p0000283;152;FRA;DOMERAT
p0000501;145;FRA;BIAS GM AUCHAN
p0000745;150;FRA;MACON PAC
p0000568;7;FRA;NOYELLES GODAULT RF MARRELIMMO
p0000390;103;FRA;ST QUENTIN RF
p0000340;12;FRA;ORLEANS SM
p0000081;155;FRA;GUILHERAND GRANGES RF
p0000337;19;FRA;OLIVET
p0000092;39;FRA;ILLKIRCH PAC
p0000175;69;FRA;ARRAS RF
p0000271;142;FRA;COGNAC PAC
p0000476;22;FRA;MELUN GM AUCHAN
p0000443;139;FRA;BIGANOS
p0000375;2;FRA;RONCQ SM PETIT MENIN
p0000381;18;FRA;ST GENIS
p0000186;27;FRA;AUBAGNE SM
